place_id,place_name,place_keyword,place_attractions,place_operatingHour,place_website,place_phonenum,email,place_desc,place_fee,place_address,place_rating,place_numrater,image1_img
11,Suria KLCC Mall,Shopping Centre,Shopping Malls,10:00 AM - 10:00 PM,http://www.suriaklcc.com.my/,03-2382 2828,info@suriaklcc.com.my,"Located in the heart of Kuala Lumpur, Suria KLCC is the most iconic premier shopping destination in Malaysia. A world-class complex of over 1.17 million square feet, it is the place to go for the best shopping, dining and entertainment experience. With more than 300 specialty stores, Suria KLCC offers an exclusive blend of renowned international fashion brands, flagship stores, unique concept stores and more. From the hottest global fashion trends to the latest high-tech home gadgets, you can find it all here under one roof. Take a breather after shopping to relax and catch up with family and friends at the multitude of cafes fronting a 50-acre park and a symphonic water fountain. Or tantalize your taste buds at a myriad of restaurants and 2 food courts offering local and international delights.",Yes,"241, Suria KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4,2153,static/place_pics/Suria KLCC Mall.jpg
12,Perdana Botanical Gardens (KL Lake Gardens),Nature,Garden,7:00 am - 8:00 pm,http://www.klbotanicalgarden.gov.my/,03-2276 0432,klbotanicalgarden@dbkl.gov.my,"Perdana Botanical Gardens is the city�s premier park, sprawling over 200 acres. This tropical garden features exotic blooms, luxuriant foliage, impressive sculptures and majestic raintrees.�",Yes,"Jalan Kebun Bunga, Tasik Perdana, 55100 Kuala Lumpur, Malaysia",4,1357,static/place_pics/Perdana Botanical Gardens (KL Lake Gardens).jpg
13,Thean Hou Temple,Religious Sites,Religious Sites,8:00 am - 8:00 pm,http://www.facebook.com/theanhoutemple/,tel:%2B60%203-2274%207088,hainan@hainannet.com.my,"This ornate Chinese temple dedicated to the Queen of Heaven, Thean Hou, protectorate of people who make their living from the sea. The temple borrows from Buddhist, Taoist and Confucian traditions. Some visitors believe the panoramic views of KL alone make the trip up the hill worthwhile.",Yes,"65 Persiaran Endah Off Jalan Syed Putra, Kuala Lumpur 50460 Malaysia",4.5,1427,static/place_pics/Thean Hou Temple.jpg
14,"BB Park Bukit Bintang",Shopping Centre,Shopping Malls,12:00 AM - 11:59 PM,https://www.facebook.com/BB-Park-at-Bukit-Bintang-173287462718512/,tel:%2B60%2012-248%208817,None,"Bukit Bintang is the center for Kuala Lumpur. It is a very beautiful city for me. A city that never sleeps. This street is fill with night life, great shopping centre and amazing street food. It can take up to a day or 2 just to see everything in Bukit BIntang. The streets are always fill with people. Business has concentrated in the Pavilion end of this short street which used to offer all kinds of shopping before. Sungei Wang and Lot 10 on opposite sides of the monorail have little of interest nowadays, Fahrenheit with Uniqlo is more worth a visit. The large street food area is at the back of the new metro station. So much restaurants to choose from and you will never be bored even after dinner. Many street music performers and it is safe place. Bukit Bintang is probably one of two of the most touristy spots in Kuala Lumpur for it�s concentration of hotels, shopping, architecture and entertainment. Some of the shopping is pretty upscale, but there�s plenty that�s reasonably priced, especially if you head to the nearby Jalan Alor which has more street hawkers. Some of the more interesting buildings include Starhill Gallery, but I enjoy visiting for the eclectic mix of modernity and pre-war buildings too.",Yes,"Jalan Bukit Bintang, Kuala Lumpur 55100 Malaysia",4,1509,static/place_pics/BB Park Bukit Bintang.jpg
15,"Petrosains Science Discovery Centre",Museums,Science�,9:30 AM - 5:30 PM,http://www.petrosains.com.my/,tel:%2B60%203-2331%208181,None,"I wish we come earlier. Very interesting and worth the entrance price. Sadly some exhibit is not working but no notice and we try to play with it just to waste our time on it. This is a must see for us every time we visit KL, normally we end up visiting more than once. The children have an absolute ball and learn while having fun. The pneumatic diggers are an absolute hit. It's a shame that the COVID-19 measures are limiting some activities at the moment but hopefully they will lift soon. Really excellent value for money. Petrosains in Kuala Lumpur is a amazing place that you must visit with kids. I went there for school trip. You can fun and play but at time same time you can gain the knowledge. I learn more about space, science, technology and others. The price is affordable. I'm so lucky to go there during Science show. So we can see they do experiment about science. No regret to visit this place. This is a great place to come with the family and learn more about Space, the earth and geology, oil extraction and fun games like driving race cars, backhoes and many educational things. My young daughters loved all the hands on exhibits and ZI enjoyed both learning and teaching. Buy tickets on klook as they are cheapest.",No,"The Discovery Centre, Level 4, Suria KLCC Petronas Towers, Kuala Lumpur 50088 Malaysia",4.5,1293,static/place_pics/Petrosains Science Discovery Centre.jpg
16,Masjid Wilayah Persekutuan,Religious Sites,Religious Sites,8:00 AM - 5.00 PM,http://www.masjidwilayah.gov.my/,tel:%2B60%203-6201%208791,None,"The Federal Territory Mosque is a mosque in Kuala Lumpur, Malaysia. It is located near MATRADE complex and the Federal Government Complex off Jalan Duta, in Segambut district. The Kuala Lumpur Mosque was constructed between 1998 and 2000. It is situated on a five hectare site near the Government Office Complex along Jalan Duta. The Wilayah Persekutuan (Federal Territory) Mosque was opened to the public on 25 October 2000 and was officiated by the 12th Yang di-Pertuan Agong, Tuanku Syed Sirajuddin ibni Almarhum Syed Putra Jamalulail. It is the 44th mosque built by the Government within the city limits. The mosque can accommodate 17,000 worshippers at any one time.",Yes,"50480 Jalan Duta, Kuala Lumpur 50480 Malaysia",4.5,180,static/place_pics/Masjid Wilayah Persekutuan.jpg
17,Mid Valley Megamall,Shopping Centre,Shopping Malls,10:00 AM - 10:00 PM,http://www.midvalley.com.my/,tel:%2B60%203-2938%203333,customerservice@midvalleycity.com,"Mid Valley Megamall is a shopping mall in Mid Valley City, Kuala Lumpur, Malaysia. It sits at the entrance of Petaling Jaya and Kuala Lumpur. Developed by IGB Corporation, the complex was opened in 1999.It comprises a shopping mall, an office tower block, 30 offices, and three hotels. A second mall, The Gardens Mall, is adjacent to the Megamall. The mall has 4,500,000 sq ft of total floor area, out of which 1,700,000 sq ft is leasable space. This whole area is sometimes referred to Mid Valley City.The mall draws large crowds all throughout the year partly due to the amount of shops and variety available. There are many dining options available as well.It houses a 48,300 sq ft convention centre and it is adjacent to a 646-room business hotel named Cititel Midvalley. A further two hotels are in the same area: The Boulevard Hotel, The Gardens Hotel and Residences. There has been a proposal to link Mid Valley Megamall and Masjid Jamek via a 5.5 km bicycle lane.It was awarded Best Shopping Complex Award 2000 by Tourism Malaysia and Best Retail Development 2001 by FIABCI Malaysia.In recent times the mall has garnered media attention with events like the IT Fair, Home and Decoration Fair, and The MATTA Fair being held in the Exhibition Center.The connecting bridge between Mid Valley Megamall and The Gardens, spanning the central boulevard.It was announced that a second Mid Valley Southkey Megamall had been slated for 2016 in the Iskandar region of Johor Bahru.",Yes,"Lingkaran Syed Putra Mid Valley City, Kuala Lumpur 59200 Malaysia",4,997,static/place_pics/Mid Valley Megamall.jpg
18,Central Market Kuala Lumpur,Shopping Centre,Shopping Malls,10:00 AM - 9:30 PM,http://centralmarket.com.my/,tel:%2B60%203-2031%200399,info@centralmarket.com.my,"Central Market began life as a wet market in 1888, built by Yap Ah Loy, the city�s Chinese Kapitan. It served as a prominent landmark in colonial and modern-day Kuala Lumpur. When the wet market was relocated in the 1980s, the Malaysian Heritage Society successfully petitioned against the demolition of the building. Now, Central Market Kuala Lumpur is an iconic attraction and a delightful destination for tourists, shoppers and art lovers.",Yes,"Jalan Hang Kasturi, Kuala Lumpur 50050 Malaysia",4,4918,static/place_pics/Central Market Kuala Lumpur.jpg
19,Museum of Illusions,Museum,Leisure,10:00 am - 10:00 pm,https://museumofillusions.my/,03-2110 2654,info@museumofillusions.my,"Welcome to our fascinating world of illusions. Thrilled yet bewildered you will enter a world that will blow your mind but also give you an opportunity to learn all sorts of things... come and visit us! It is sure to be an amazing and unimaginable experience because whatever you see, especially here in the Museum of Illusions, is not what it appears to be. Are you ready for an adventure?",No,"101 Jalan Bukit Bintang 1st Floor Ansa Hotel Kuala Lumpur, Kuala Lumpur 55100 Malaysia",5,590,static/place_pics/Museum of Illusions.jpg
20,National Museum,Museum,National Heritage,9:00 am - 5:00 pm,http://www.muziumnegara.gov.my/,03-2267 1111,prmuziumnegara@jmm.gov.my�,"Malaysia�s premier museum serves as a repository for the nation�s rich history and heritage. Built in 1963, its fa�ade features a Minangkabau-styled roof and two impressive front murals. The museum has four main galleries. Among the highlights here are the collection of keris or the Malay dagger, ceramics from the Ming Dynasty and traditional musical instruments from various parts of Asia. Thematic exhibitions are held from time to time.",No,"Muzium Negara, Jabatan�Muzium�Malaysia, Jalan Damansara, 50566, Kuala Lumpur",4,1059,static/place_pics/National Museum.jpg
21,Esplanade (Lake Symphony),Water Attraction,Fountains,"7:30 PM, 8:30PM & 9:30 PM",http://www.mpo.com.my/,tel:%2B60%203-2382%202828,None,"Within KLCC Park, sited at the esplanade outside of Suria KLCC, lies the 10,000 sq ft man-made Lake Symphony. Two musical fountains display over 150 unique programmed animations in a magical performance of sound and water. KLCC Lake Symphony Light and Sound Water Fountain showtimes are 8pm, 9pm  and 10pm daily. However, KLCC Lake Symphony Water Fountain showtimes (Light only) are 7:30pm, 8:30pm and 9:30pm daily.
",Yes,"241, Suria KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4.5,1299,static/place_pics/Esplanade (Lake Symphony).jpg
22,KLCC - Bukit Bintang Pedestrian Walkway,Sculpture,Leisure,6:00 AM - 11:00 PM,https://www.facebook.com/KLCC-Bukit-Bintang-Pedestrian-Walkway-637116816750142/,None,info@klccconventioncentre.com,"The KLCC - Bukit Bintang Walkway is a 1.173km-long pedestrian bridge that connects the Kuala Lumpur Convention Centre to the Impiana KLCC Hotel, KL City Walk and Pavilion shopping mall. There are several entrance and exit points (escalators and staircases) along the bridge. With the KLCC - Bukit Bintang Walkway, people can travel safely, conveniently and comfortably on foot from the Kuala Lumpur Convention Centre all the way to Bukit Bintang, and vice versa. Opened in January 2012 by Prime Minister of Malaysia, Datuk Seri Najib Tun Razak, the bridge is a safe, comfortable and convenient alternative to the city�s busy roads for pedestrians.",Yes,"21, Jalan Pinang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4.5,4363,static/place_pics/KLCC - Bukit Bintang Pedestrian Walkway.jpg
23,Berjaya Times Square Kuala Lumpur,Shopping Centre,Shopping Malls,10:00 AM - 10:00 PM,http://www.berjayatimessquarekl.com/,tel:%2B60%203-2117%203111,general@timessquarekl.com,"Berjaya Times Square is a�48-storey, 203 m (666 ft) twin tower, hotel, condominium, indoor amusement park and shopping centre complex in Bukit Bintang, Kuala Lumpur, Malaysia.",Yes,"1 Jalan Imbi, Kuala Lumpur 55100 Malaysia",4,2733,static/place_pics/Berjaya Times Square Kuala Lumpur.jpg
24,National Mosque (Masjid Negara),Religious Sites,Religious Sites,9:00 AM - 11.00 PM,http://www.masjidnegara.gov.my/v2/,tel:%2B60%203-2693%207784,pro@masjidnegara.gov.my,"Non-Muslims are welcome to visit the striking National Mosque outside of prayer time. This modern mosque was completed in 1965 and can accommodate 15,000 people. Robes are kindly lent to visitors who are inappropriately dressed.",Yes,"Jalan Perdana, Kuala Lumpur 50480 Malaysia",4,2216,static/place_pics/National Mosque (Masjid Negara).jpg
25,Jamek Mosque,Religious Sites,Religious Sites,"8:30 AM - 12:30 PM,�2:30 PM - 4:00 PM",http://kuala-lumpur.attractionsinmalaysia.com/Masjid-Jamek-Kuala-Lumpur.php,tel:%2B60%203-2691%202829,None,"Masjid Jamek opened its doors more than 100 years ago, making it one of the oldest mosques in Kuala Lumpur. Built in a Moorish style with iconic white domes, the mosque sits at the confluence of the Sungei Klang and Sungei Gombak rivers. The bazaar outside is also well worth a visit.",Yes,"Jalan Tun, Kuala Lumpur 56000 Malaysia",4,984,static/place_pics/Jamek Mosque.jpg
26,Sultan Abdul Samad Building,Sculpture,Architectural Buildings,Always Open,http://www.wonderfulmalaysia.com/attractions/sultan-abdul-samad-building.htm,tel:%2B60%201-300-88-5050,None,"The Sultan Abdul Samad Building is a late-nineteenth century building located along Jalan Raja in front of the Dataran Merdeka (Independence Square) and the Royal Selangor Club in Kuala Lumpur, Malaysia. The building originally housed the offices of the British colonial administration, and was known simply as Government Offices in its early years. In 1974 it was renamed after Sultan Abdul Samad, the reigning sultan of Selangor at the time when construction began. The building houses both the offices of the Ministry of Communications and Multimedia and the Ministry of Tourism and Culture of Malaysia. It once housed the superior courts of the country: the Federal Court of Malaysia, the Court of Appeals and the High Court of Malaya. The Federal Court and the Court of Appeals had shifted to the Palace of Justice in Putrajaya during the early 2000s, while the High Court of Malaya shifted to the Kuala Lumpur Courts Complex in 2007.",Yes,"Jalan Raja Merdeka Square, Kuala Lumpur 50050 Malaysia",4,1097,static/place_pics/Sultan Abdul Samad Building.jpg
27,Chinatown,Neighborhoods,Neighborhoods,10:00 AM - 10:00 PM,http://www.visitkl.gov.my/visitklv2/index.php?r=column/cthree&id=112&place_id=970,None,None,"Sample mouthwatering dumplings, then revel in the shopping fervor and bag a bargain at the lively Petaling Street Market.",Yes,"37, Jalan Petaling, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.5,11633,static/place_pics/Chinatown.jpg
28,Kuala Lumpur City Gallery,Sculpture,Architectural Buildings,9:00 AM - 6:30 PM,http://www.klcitygallery.com.my/,tel:%2B60%203-2698%203333,klcg@archcollection.com.my,"Complete your visit to Kuala Lumpur here! The iconic I LOVE KL monument is a must photo-stop! The Tourist Information Centre here should be your first stop as soon as you step into Kuala Lumpur! Tour and travel services are available plus you can get the only KL Walks & Tours Map, a self initiated map by the gallery Founder, Andrew Lee. See the Past, Present & Future of Kuala Lumpur at The Spectacular City Model Show, an exciting light and sound show that tells you all about KL! Have fun at KL Reflection, where amazing city-inspired exhibits are waiting to be selfie-d! See 100 Icons of KL and experience Miniature Figures on your hands! Take home Made In Malaysia gifts, The Official Souvenir of Kuala Lumpur. End your visit by savouring the finest of truly Malaysian delicacies at the ARCH Cafe. Opening Hours : From 9am - 6.30pm daily. ENTRANCE fee: RM 10/pax, of which RM 5 is redeemable at the gift shop or cafe.",No,"No. 27 Jalan Raja Dataran Merdeka, Kuala Lumpur 50050 Malaysia",4,1662,static/place_pics/Kuala Lumpur City Gallery.jpg
29,KL Forest Eco-Park,Nature,Nature,7:00 am - 6:00 pm,https://www.menarakl.com.my/attractions/tower-attractions/kl-forest-eco-park, 03-2020 1606,jpwkl@forestry.gov.my,"This sanctuary has the distinction of being the oldest as well as the only permanent forest reserve in the heart of the city. Beginning at the slopes of KL Tower, the lowland dipterocarp forest stretches over 10.5 hectares and is home to a diversity of inhabitants. Marvel at the lush foliage from the 70-metre boardwalk or join a guided tour to take a closer look at the trees, bamboos, herbs and climbers.",No, KL Tower No. 2 Jalan Punchak Off Jalan P.Ramlee 50250 Kuala Lumpur Malaysia,4,538,static/place_pics/KL Forest Eco-Park.jpg
30,Sri Maha Mariamman Temple,Religious Sites,Religious Sites,6:00 AM - 9:00 PM,http://www.kuala-lumpur.ws/attractions/sri-mahamariamman-temple.htm,tel:%2B60%203-2078%203467,None,"This intricately detailed South Indian temple is Malaysia�s oldest functioning Hindu temple, dating back to 1873.",Yes,"Jalan Tun H S Lee, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4,1513,static/place_pics/Sri Maha Mariamman Temple.jpg
31,Kuala Lumpur Butterfly Park,Nature,Parks,9:00 AM - 6:00 PM,http://www.klbutterflypark.com/,tel:%2B60%203-2693%204799,info@klbutterflypark.com,"Meander through Kuala Lumpur Butterfly Park�s lush grounds, home to 6,000 butterflies from more than 120 species.",No,"Jalan Cenderasari, Kuala Lumpur 50480 Malaysia",4,1373,static/place_pics/Kuala Lumpur Butterfly Park.jpg
32,Little India Brickfields,Neighborhoods,Neighborhoods,9:00 AM - 8:00 PM,http://kuala-lumpur.attractionsinmalaysia.com/Little-India-Brickfields.php,None,None,"Celebrate Malaysia�s Indian heritage by poking around the temples and markets of Little India, Brickfields neighborhood.",Yes,"Jalan Travers to Jalan Tun Sambanthan, Brickfields, Kuala Lumpur 50470 Malaysia",3.5,1146,static/place_pics/Little India Brickfields.jpg
33,Bukit Tabur,Nature,Mountains,Always Open,http://withlocals.com/experience/klang-gates-bukit-tabur-hike-f135c3d9,tel:%2B1%20267-652-6369,None,"Bukit Tabur Trail is a 7.9 kilometer heavily trafficked loop trail located near Ampang, Selangor, Malaysia that features beautiful wild flowers and is rated as difficult. The trail is primarily used for hiking, walking, nature trips, and bird watching and is accessible year-round.",Yes,"Bukit Tabur, 53100, Selangor",4.5,154,static/place_pics/Bukit Tabur.jpg
34,Jalan Masjid India,Shopping Centre,Shopping Malls,7:00 AM - 8:00 PM,None,None,None,"Jalan Masjid India is a stretch of road that is named after the local mosque, which literally translated means �Indian Mosque�. The area is marked with a distinct Indian-Muslim accent and teems with a colourful combination of people and products. The pre-war shop-houses sell a profusion of authentic Indian items such as traditional costumes in vibrant hues, Indian delicacies as well as beautifully crafted ornaments and accessories. You will find any kind of Indian import you desire, from food to jewellery to make-up to colourful saris.",Yes,"Jalan Masjid India, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4,710,static/place_pics/Jalan Masjid India.jpg
35,SOGO,Shopping Centre,Shopping Malls,10:00 AM - 9:30 PM,http://www.sogo.com.my/,tel:%2B60%201-300-88-7646,enquiry@klsogo.com.my,- Cosmetics & Fragrances - Fashion - Home Furnishing - Children & Infant Wear - Electronics & Gadgets - Fast Food & Restaurants Tourist Privilege Card: Enjoy additional 5% OFF on any storewide purchase with the Tourist Privilege Card during your stay in Malaysia.,Yes,"190 Jalan Tuanku Abdul Rahman, Kuala Lumpur 50100 Malaysia",4,638,static/place_pics/SOGO.jpg
36,KL Tower Mini Zoo,Wildlife,Wildlife,10:00 AM - 9:00 PM,http://www.menarakl.com.my/,tel:%2B60%203-2022%203943,None,"A wide range of exotic animals can be found here, ranging from massive python, cheeky squirrel monkeys to the cuddly rabbits. Snap a memorable photo with the beautiful and colorful parrots. A fun place for kids and families.",No,"Jalan Punchak Ground Floor, Menara Kuala Lumpur, Kuala Lumpur 50250 Malaysia",4,198,static/place_pics/KL Tower Mini Zoo.jpg
37,Kuala Lumpur Convention Centre,Sculpture,Architectural Buildings,8:00 AM - 7:00 PM,http://www.klccconventioncentre.com/,tel:%2B60%203-2333%202888,info@klccconventioncentre.com,"The Kuala Lumpur Convention Centre is Malaysia�s premier award-winning purpose-built facility and Asia�s first AIPC (International Association of Congress Centres) Gold Standard venue. Located in the heart of the Kuala Lumpur City Centre integrated precinct, the venue offers over 33,000sqm of flexible function space. Overlooking the iconic PETRONAS Twin Towers and 50-acre KLCC Park, delegates and visitors attending events at the Centre have a varied range of recreational, entertainment, food & beverage and accommodation options within the 100-acre �city within a city� KLCC development.",Yes,"Traders Hotel Jalan Pinang Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",4.5,938,static/place_pics/Kuala Lumpur Convention Centre.jpg
38,Chow Kit Market,Shopping Centre,Shopping Malls,7:00 AM - 1.00 PM,http://www.kuala-lumpur.ws/attractions/chow-kit-market.htm,None,None,Wind your way past narrow stalls at this authentic market for a glimpse of where Malaysians shop. Need anything for a picnic?,Yes,"Jalan Raja Alang, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4,222,static/place_pics/Chow Kit Market.jpg
39,Bank Negara Malaysia Museum and Art Gallery,Museum,National Heritage,10:00 am - 5:00 pm,http://museum.bnm.gov.my/v2/index.html,03 9179 2784,infomuseum@bnm.gov.my,"Here you can learn about money through interactive and computerised games, and obtain interesting facts and information on money. The Art Gallery showcases the Central Bank�s collection of Malaysian and Southeast Asian art acquired since 1962. There are four galleries; Economics Gallery, Islamic Finance Gallery, Numismatics Gallery and Children�s Gallery.",Yes,"Sasana Kijang, 2, Jalan Dato Onn, Kuala Lumpur, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",4.5,260,static/place_pics/Bank Negara Malaysia Museum and Art Gallery.jpg
40,Kanching Rainforest Waterfall,Nature,Waterfalls,7:30 AM - 7:30 PM,http://www.waterfallsofmalaysia.com/01kanching.php,None,None,"Really enjoyed the sequence of waterfalls - a lovely place to visit. Only reached waterfall number 4 due to shortness of visit but will definitely return to make a day of it. RM5 for parking and RM2 per person. After climbing down from the Batu caves there is nothing quite like a soothing paddle in the lake at the bottom of these waterfalls. The locals clearly love the place and splash about happily in the agreeably cool waters. Watch out for the monkeys! About 45 minutes drive from KL city center and parking is ample. Entrance fee is RM 2 per person for local and RM5 per person for foreigner. As mentioned, there are 7 tiers of fall in total. My personal favorite is the third level as it is closer to level 2 (in case level 3 gets crowded) and near to public toilet. Wild monkeys are around but as long as you hide your food & drinks you should be fine. Do not feed them as advised. Loved the waterfalls! Deff worth going. They are not very far out of town and you do not need a tour guide. The first 4 levels are great very easy hike however the 5th is a lot harder and I don't think worth the trek, we did not go further than that. It wasn't busy at all when we went about 11:30am and not many monkeys around either.",No,"Jalan Lebuhraya Selayang, Kuala Lumpur 52100 Malaysia",4,148,static/place_pics/Kanching Rainforest Waterfall.jpg
